Problem,HeuristicName,N,d/N,Success(Y/N),Time(ms),EBF,avg H value, min Depth, max Depth,Puzzle-Solution
1,BlockingCars,245,0.086065574,Y,102,1.192306519,1.191836735,1,21, QR2 --> PD2 --> XL1 --> BD4 --> AR1 --> XR1 --> PU3 --> QL3 --> OD2 --> AR3 --> OU2 --> QR3 --> PD3 --> XL1 --> BU4 --> XR1 --> PU3 --> RL3 --> QL3 --> OD3 --> XR3 --> END
2,BlockingCars,2688,0.009075044,Y,344,1.281333923,1.960565476,1,26, BU1 --> XL1 --> GR1 --> AD3 --> XR1 --> BD1 --> OL3 --> PU1 --> EL1 --> HU2 --> QR2 --> AD1 --> GR1 --> DD1 --> EL3 --> PD2 --> CL3 --> HU2 --> PU2 --> ER4 --> DU1 --> FU1 --> AU1 --> QL3 --> PD3 --> XR3 --> END
3,BlockingCars,1405,0.01962111,Y,129,1.211112976,2.752313167,1,29, QL2 --> DD1 --> EL1 --> PD1 --> OR1 --> AU1 --> XL3 --> AD1 --> OL3 --> PU1 --> ER1 --> DU1 --> QR3 --> CD1 --> AD1 --> BL3 --> DU2 --> EL1 --> PD1 --> OR3 --> AU2 --> EL3 --> CU2 --> FL4 --> DD2 --> QL2 --> PD2 --> CD1 --> XR4 --> END
4,BlockingCars,4090,0.006099049,Y,352,1.3176651,1.254278729,1,25, CU1 --> DU2 --> XL2 --> AD1 --> BL1 --> EU2 --> GU2 --> HR4 --> OR3 --> FL1 --> AD3 --> FR2 --> XR2 --> CD4 --> DD4 --> BL2 --> XL2 --> FL2 --> AU4 --> FR2 --> XR2 --> CU3 --> OL2 --> GD1 --> XR2 --> END
5,BlockingCars,6932,0.003732891,Y,488,1.31854248,2.711338719,1,27, CL1 --> OU1 --> EU1 --> QR2 --> PD1 --> XL1 --> BD4 --> DR1 --> XR1 --> AR1 --> PU3 --> QL3 --> GU3 --> QR3 --> PD3 --> AL1 --> XL1 --> DL1 --> BU4 --> HL2 --> IL1 --> QL2 --> OD3 --> ED2 --> CR1 --> GU1 --> XR4 --> END
6,BlockingCars,4131,0.006616257,Y,281,1.289085388,2.628661341,1,27, ED1 --> DU1 --> RL1 --> GU1 --> HR1 --> CD3 --> XR1 --> AD1 --> OL3 --> PU1 --> RR2 --> AD3 --> XL1 --> RL2 --> CU4 --> HL1 --> GD1 --> RR3 --> XR1 --> AU3 --> EU1 --> FU1 --> HL3 --> FD1 --> RL2 --> PD3 --> DU1 --> XR2 --> END
7,BlockingCars,2337,0.01183432,Y,187,1.245475769,2.724433034,1,28, PU2 --> ER1 --> OD2 --> CR2 --> BR2 --> DU2 --> XR1 --> AD4 --> XL1 --> DD2 --> BL3 --> CL3 --> DU2 --> OU2 --> EL4 --> OD2 --> DD2 --> CR3 --> DU2 --> XR1 --> ER1 --> AU3 --> EL1 --> FU1 --> RL3 --> PD3 --> OD1 --> XR3 --> END
8,BlockingCars,1615,0.018337408,Y,87,1.206787109,2.502786378,1,30, QU1 --> GR2 --> AD1 --> OR3 --> PU1 --> FR2 --> DD1 --> CD1 --> EL3 --> AD1 --> BL1 --> QU1 --> RR1 --> PD2 --> BL3 --> PU2 --> AU1 --> ER3 --> CU1 --> DU1 --> FL2 --> PD3 --> OL3 --> AU1 --> XR3 --> PU2 --> RL1 --> GL2 --> QD2 --> XR1 --> END
9,BlockingCars,4257,0.007234539,Y,307,1.242454529,3.778717407,1,31, BU1 --> ER1 --> GU3 --> EL1 --> HU1 --> RR3 --> CD1 --> DL1 --> FR2 --> AD3 --> OR1 --> XR1 --> DR1 --> CU4 --> XL1 --> DL1 --> AU3 --> RL3 --> HD1 --> FL3 --> ER1 --> GD3 --> EL2 --> PD3 --> OR2 --> AU1 --> XR3 --> AD1 --> OL1 --> BU1 --> XR1 --> END
10,BlockingCars,1082,0.029143898,Y,66,1.179763794,1.458410351,1,31, DR1 --> CR1 --> FR1 --> ER1 --> OD3 --> XL1 --> AD1 --> PL1 --> QU3 --> DR1 --> FR1 --> BD3 --> DL1 --> QD1 --> PR1 --> AU1 --> XR3 --> OU3 --> CL1 --> EL1 --> AD4 --> CR1 --> OD1 --> PL3 --> QU1 --> DR1 --> XL2 --> BU4 --> DL1 --> FL1 --> QD3 --> XR3 --> END
